Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150807_KBayRecov_Mcap_2.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-07 12:27:02 PM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,32_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.33965111,23.06178665,0.392959684,,,,FALSE,0.01,FALSE,3,20,,N,N
A3,32_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,22.7839222,23.06178665,0.392959684,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,32_11.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,32_11.24,D,UNKNOWN,FAM,NFQ-MGB,25.28421974,25.23222351,0.073533773,,,,FALSE,0.01,FALSE,3,20,,N,N
A5,26_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.29568863,22.38812256,0.130719975,,,,FALSE,0.01,FALSE,3,20,,N,N
A6,26_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.48055458,22.38812256,0.130719975,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,26_10.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,26_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.48234367,26.42878342,0.075746991,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,26_10.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A8,26_10.24,D,UNKNOWN,FAM,NFQ-MGB,26.37522125,26.42878342,0.075746991,,,,FALSE,0.01,FALSE,3,20,,N,N
A9,32_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.99896049,23.04634476,0.06701012,,,,FALSE,0.01,FALSE,3,20,,N,N
A10,32_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.09372711,23.04634476,0.06701012,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,32_11.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
A11,32_11.24,D,UNKNOWN,FAM,NFQ-MGB,25.18022728,25.23222351,0.073533773,,,,FALSE,0.01,FALSE,3,20,,N,N
A12,,,,,,,,,,,,,,,,,,N,N
B1,25_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.76257133,22.35595512,0.575042188,,,,FALSE,0.01,FALSE,3,20,,Y,N
B2,25_10.24,Mcap,UNKNOWN,FAM,NFQ-MGB,21.94933891,22.35595512,0.575042188,,,,FALSE,0.01,FALSE,3,20,,Y,N
B3,25_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.35761452,26.22854805,0.182527542,,,,FALSE,0.01,FALSE,3,20,,N,Y
B3,25_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,25_10.24,C,UNKNOWN,VIC,NFQ-MGB,26.09948158,26.22854805,0.182527542,,,,FALSE,0.01,FALSE,3,20,,N,Y
B4,25_10.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B5,26_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,19.78065872,19.92349052,0.201994672,,,,FALSE,0.01,FALSE,3,20,,N,N
B6,26_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,20.06632233,19.92349052,0.201994672,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,26_11.04,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B7,26_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.37944221,24.37393188,0.007794132,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,26_11.04,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
B8,26_11.04,D,UNKNOWN,FAM,NFQ-MGB,24.36841965,24.37393188,0.007794132,,,,FALSE,0.01,FALSE,3,20,,N,N
B9,31_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.01089668,22.95620728,0.077343851,,,,FALSE,0.01,FALSE,3,20,,N,N
B10,31_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.90151596,22.95620728,0.077343851,,,,FALSE,0.01,FALSE,3,20,,N,N
B11,31_11.24,C,UNKNOWN,VIC,NFQ-MGB,28.75906754,28.95555305,0.277872473,,,,FALSE,0.01,FALSE,3,20,,N,Y
B11,31_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,31_11.24,C,UNKNOWN,VIC,NFQ-MGB,29.15203857,28.95555305,0.277872473,,,,FALSE,0.01,FALSE,3,20,,N,Y
B12,31_11.24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C1,25_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,21.67620087,21.56290817,0.160221413,,,,FALSE,0.01,FALSE,3,20,,N,N
C2,25_11.04,Mcap,UNKNOWN,FAM,NFQ-MGB,21.44961357,21.56290817,0.160221413,,,,FALSE,0.01,FALSE,3,20,,N,N
C3,25_11.04,C,UNKNOWN,VIC,NFQ-MGB,29.00788307,28.84638596,0.228392765,,,,FALSE,0.01,FALSE,3,20,,N,Y
C3,25_11.04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C4,25_11.04,C,UNKNOWN,VIC,NFQ-MGB,28.68488693,28.84638596,0.228392765,,,,FALSE,0.01,FALSE,3,20,,N,Y
C4,25_11.04,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C5,26_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.17344284,24.09431458,0.111904263,,,,FALSE,0.01,FALSE,3,20,,N,N
C6,26_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,24.01518631,24.09431458,0.111904263,,,,FALSE,0.01,FALSE,3,20,,N,N
C7,26_11.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C7,26_11.24,D,UNKNOWN,FAM,NFQ-MGB,26.38430214,26.46819305,0.11863967,,,,FALSE,0.01,FALSE,3,20,,N,N
C8,26_11.24,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
C8,26_11.24,D,UNKNOWN,FAM,NFQ-MGB,26.55208397,26.46819305,0.11863967,,,,FALSE,0.01,FALSE,3,20,,N,N
C9,31_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.37700462,23.33983612,0.0525642,,,,FALSE,0.01,FALSE,3,20,,N,N
C10,31_12.16_1:2,Mcap,UNKNOWN,FAM,NFQ-MGB,23.30266762,23.33983612,0.0525642,,,,FALSE,0.01,FALSE,3,20,,N,N
C11,31_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,24.94548416,25.11444092,0.238940939,,,,FALSE,0.01,FALSE,3,20,,N,Y
C11,31_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,Y
C12,31_12.16_1:2,C,UNKNOWN,VIC,NFQ-MGB,25.28339767,25.11444092,0.238940939,,,,FALSE,0.01,FALSE,3,20,,N,N
C12,31_12.16_1:2,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,FALSE,0.01,FALSE,3,20,,N,N
D1,25_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,22.15951729,21.91807175,0.341455549,,,,FALSE,0.01,FALSE,3,20,,N,N
