Block Type,96well,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,
Experiment File Name,C:\Users\mahdi\Documents\KBayqPCR\20150808_KBayRecov_Mcap_1.eds,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2015-08-08 10:10:19 AM HST,,,,,,,,,,,,,,,,,,
Instrument Type,steponeplus,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,
Well,Sample Name,Target Name,Task,Reporter,Quencher,C_,C_ Mean,C_ SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP
A1,,,,,,,,,,,,,,,,,,N,N
A2,44_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,25.56794548,25.53383255,0.048244316,,,,TRUE,0.01,TRUE,3,20,,N,N
A3,44_01.14,Mcap,UNKNOWN,FAM,NFQ-MGB,25.49971771,25.53383255,0.048244316,,,,TRUE,0.01,TRUE,3,20,,N,N
A4,44_05.06,C,UNKNOWN,VIC,NFQ-MGB,25.65854454,25.71243477,0.076212294,,,,FALSE,0.01,FALSE,3,20,,N,N
A4,44_05.06,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,TRUE,0.01,TRUE,3,20,,N,N
A5,40_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.86678123,23.90290451,0.051087376,,,,TRUE,0.01,TRUE,3,20,,N,N
A6,40_11.24,Mcap,UNKNOWN,FAM,NFQ-MGB,23.93902969,23.90290451,0.051087376,,,,TRUE,0.01,TRUE,3,20,,N,N
A7,40_11.24,C,UNKNOWN,VIC,NFQ-MGB,26.08138657,26.029356,0.073582329,,,,FALSE,0.01,FALSE,3,20,,N,N
A7,40_11.24,D,UNKNOWN,FAM,NFQ-MGB,24.69722176,24.68288422,0.020276343,,,,TRUE,0.01,TRUE,3,20,,N,N
A8,40_11.24,C,UNKNOWN,VIC,NFQ-MGB,25.97732544,26.029356,0.073582329,,,,FALSE,0.01,FALSE,3,20,,N,N
